PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
18820158,Management of mastitis on organic and conventional dairy farms,Ruegg PL.,J Anim Sci. 2009 Apr;87(13 Suppl):43-55. doi: 10.2527/jas.2008-1217. Epub 2008 Sep 26.,Ruegg PL,J Anim Sci,2009,9/30/2008,,,10.2527/jas.2008-1217
16987390,Mastitis and related management factors in certified organic dairy herds in Sweden,"Hamilton C, Emanuelson U, Forslund K, Hansson I, Ekman T.",Acta Vet Scand. 2006 Jul 17;48(1):11. doi: 10.1186/1751-0147-48-11.,Hamilton C,Acta Vet Scand,2006,9/22/2006,PMC1553465,,10.1186/1751-0147-48-11
37111469,Association between Mastitis Occurrence in Dairy Cows and Bedding Characteristics of Compost-Bedded Pack Barns,"Freu G, Garcia BLN, Tomazi T, Di Leo GS, Gheller LS, Bronzo V, Moroni P, Dos Santos MV.",Pathogens. 2023 Apr 12;12(4):583. doi: 10.3390/pathogens12040583.,Freu G,Pathogens,2023,4/28/2023,PMC10146899,,10.3390/pathogens12040583
33309348,"Effect of subclinical mastitis detected in the first month of lactation on somatic cell count linear scores, milk yield, fertility, and culling of dairy cows in certified organic herds","Fernandes L, Guimaraes I, Noyes NR, Caixeta LS, Machado VS.",J Dairy Sci. 2021 Feb;104(2):2140-2150. doi: 10.3168/jds.2020-19153. Epub 2020 Dec 11.,Fernandes L,J Dairy Sci,2021,12/14/2020,,,10.3168/jds.2020-19153
26686728,Incidence rate of pathogen-specific clinical mastitis on conventional and organic Canadian dairy farms,"Levison LJ, Miller-Cushon EK, Tucker AL, Bergeron R, Leslie KE, Barkema HW, DeVries TJ.",J Dairy Sci. 2016 Feb;99(2):1341-1350. doi: 10.3168/jds.2015-9809. Epub 2015 Dec 10.,Levison LJ,J Dairy Sci,2016,12/22/2015,,,10.3168/jds.2015-9809
35203178,Dairy Cows' Udder Pathogens and Occurrence of Virulence Factors in Staphylococci,"Zigo F, Farkašová Z, Výrostková J, Regecová I, Ondrašovičová S, Vargová M, Sasáková N, Pecka-Kielb E, Bursová Š, Kiss DS.",Animals (Basel). 2022 Feb 14;12(4):470. doi: 10.3390/ani12040470.,Zigo F,Animals (Basel),2022,2/25/2022,PMC8868196,,10.3390/ani12040470
16978453,Subclinical mastitis in dairy cows in Swiss organic and conventional production systems,"Roesch M, G Doherr M, Schären W, Schällibaum M, Blum JW.",J Dairy Res. 2007 Feb;74(1):86-92. doi: 10.1017/S002202990600210X. Epub 2006 Sep 18.,Roesch M,J Dairy Res,2007,9/19/2006,,,10.1017/S002202990600210X
30268605,The effect of individual quarter dry-off in management of subclinical mastitis on udder condition and milk production in organic dairy herds: A randomized field trial,"Skarbye AP, Krogh MA, Sørensen JT.",J Dairy Sci. 2018 Dec;101(12):11186-11198. doi: 10.3168/jds.2018-14794. Epub 2018 Sep 27.,Skarbye AP,J Dairy Sci,2018,10/1/2018,,,10.3168/jds.2018-14794
29650032,Biosecurity and animal disease management in organic and conventional Swedish dairy herds: a questionnaire study,"Emanuelson U, Sjöström K, Fall N.",Acta Vet Scand. 2018 Apr 12;60(1):23. doi: 10.1186/s13028-018-0376-6.,Emanuelson U,Acta Vet Scand,2018,4/14/2018,PMC5898060,,10.1186/s13028-018-0376-6
36230266,Survey of Management Practices and Farmers' Perceptions of Diseases on Organic Dairy Cattle Farms in California,"Cheong S, Di Francesco J, Lee K, Van Vleck Pereira R, Black R, Karle B, Lema M, Pires AFA.",Animals (Basel). 2022 Sep 21;12(19):2526. doi: 10.3390/ani12192526.,Cheong S,Animals (Basel),2022,10/14/2022,PMC9558946,,10.3390/ani12192526
11814023,"Mastitis, ketosis, and milk fever in 31 organic and 93 conventional Norwegian dairy herds","Hardeng F, Edge VL.",J Dairy Sci. 2001 Dec;84(12):2673-9. doi: 10.3168/jds.S0022-0302(01)74721-2.,Hardeng F,J Dairy Sci,2001,1/30/2002,,,10.3168/jds.S0022-0302(01)74721-2
23684015,"Risk factors for clinical mastitis, ketosis, and pneumonia in dairy cattle on organic and small conventional farms in the United States","Richert RM, Cicconi KM, Gamroth MJ, Schukken YH, Stiglbauer KE, Ruegg PL.",J Dairy Sci. 2013 Jul;96(7):4269-85. doi: 10.3168/jds.2012-5980. Epub 2013 May 16.,Richert RM,J Dairy Sci,2013,5/21/2013,,,10.3168/jds.2012-5980
31725757,"Mammary microbiome of lactating organic dairy cows varies by time, tissue site, and infection status","Andrews T, Neher DA, Weicht TR, Barlow JW.",PLoS One. 2019 Nov 14;14(11):e0225001. doi: 10.1371/journal.pone.0225001. eCollection 2019.,Andrews T,PLoS One,2019,11/15/2019,PMC6855453,,10.1371/journal.pone.0225001
17451622,Dairy cow cleanliness and milk quality on organic and conventional farms in the UK,"Ellis KA, Innocent GT, Mihm M, Cripps P, McLean WG, Howard CV, Grove-White D.",J Dairy Res. 2007 Aug;74(3):302-10. doi: 10.1017/S002202990700249X. Epub 2007 Apr 24.,Ellis KA,J Dairy Res,2007,4/25/2007,,,10.1017/S002202990700249X
10760403,Udder health and risk factors for subclinical mastitis in organic dairy farms in Switzerland,"Busato A, Trachsel P, Schällibaum M, Blum JW.",Prev Vet Med. 2000 Apr 28;44(3-4):205-20. doi: 10.1016/s0167-5877(00)00104-5.,Busato A,Prev Vet Med,2000,4/13/2000,,,10.1016/s0167-5877(00)00104-5
14594237,Effect of mastitis treatment and somatic cell counts on milk yield in Danish organic dairy cows,"Bennedsgaard TW, Enevoldsen C, Thamsborg SM, Vaarst M.",J Dairy Sci. 2003 Oct;86(10):3174-83. doi: 10.3168/jds.S0022-0302(03)73920-4.,Bennedsgaard TW,J Dairy Sci,2003,11/5/2003,,,10.3168/jds.S0022-0302(03)73920-4
24054299,Assessing the research and education needs of the organic dairy industry in the northeastern United States,"Pereira ABD, Brito AF, Townson LL, Townson DH.",J Dairy Sci. 2013;96(11):7340-7348. doi: 10.3168/jds.2013-6690. Epub 2013 Sep 18.,Pereira ABD,J Dairy Sci,2013,9/24/2013,,,10.3168/jds.2013-6690
14765827,Management practices and reported antimicrobial usage on conventional and organic dairy farms,"Zwald AG, Ruegg PL, Kaneene JB, Warnick LD, Wells SJ, Fossler C, Halbert LW.",J Dairy Sci. 2004 Jan;87(1):191-201. doi: 10.3168/jds.S0022-0302(04)73158-6.,Zwald AG,J Dairy Sci,2004,2/10/2004,,,10.3168/jds.S0022-0302(04)73158-6
22443880,Aligning health and welfare principles and practice in organic dairy systems: a review,"Marley CL, Weller RF, Neale M, Main DC, Roderick S, Keatinge R.",Animal. 2010 Feb;4(2):259-71. doi: 10.1017/S1751731109991066.,Marley CL,Animal,2010,3/27/2012,,,10.1017/S1751731109991066
22437543,Prevalence and antibiotic resistance of mastitis pathogens isolated from dairy herds transitioning to organic management,"Park YK, Fox LK, Hancock DD, McMahan W, Park YH.",J Vet Sci. 2012 Mar;13(1):103-5. doi: 10.4142/jvs.2012.13.1.103.,Park YK,J Vet Sci,2012,3/23/2012,PMC3317450,,10.4142/jvs.2012.13.1.103
19607734,"Milk yield, udder health and reproductive performance in Swedish organic and conventional dairy herds","Fall N, Emanuelson U.",J Dairy Res. 2009 Nov;76(4):402-10. doi: 10.1017/S0022029909990045. Epub 2009 Jul 16.,Fall N,J Dairy Res,2009,7/18/2009,,,10.1017/S0022029909990045
28992929,Antibiotic use by farmers to control mastitis as influenced by health advice and dairy farming systems,"Poizat A, Bonnet-Beaugrand F, Rault A, Fourichon C, Bareille N.",Prev Vet Med. 2017 Oct 1;146:61-72. doi: 10.1016/j.prevetmed.2017.07.016. Epub 2017 Jul 25.,Poizat A,Prev Vet Med,2017,10/11/2017,,,10.1016/j.prevetmed.2017.07.016
18983724,Antimicrobial resistance in beef and dairy cattle production,"Call DR, Davis MA, Sawant AA.",Anim Health Res Rev. 2008 Dec;9(2):159-67. doi: 10.1017/S1466252308001515. Epub 2008 Nov 5.,Call DR,Anim Health Res Rev,2008,11/6/2008,,,10.1017/S1466252308001515
28427433,Prevalence of subclinical mastitis in Finnish dairy cows: changes during recent decades and impact of cow and herd factors,"Hiitiö H, Vakkamäki J, Simojoki H, Autio T, Junnila J, Pelkonen S, Pyörälä S.",Acta Vet Scand. 2017 Apr 20;59(1):22. doi: 10.1186/s13028-017-0288-x.,Hiitiö H,Acta Vet Scand,2017,4/22/2017,PMC5397772,,10.1186/s13028-017-0288-x
38908690,"Relationship Between Facility Type and Bulk Tank Milk Bacteriology, Udder Health, Udder Hygiene, and Milk Production on Vermont Organic Dairy Farms","Jeffrey CE, Andrews T, Godden SM, Neher DA, Barlow JW.",J Dairy Sci. 2024 Jun 20:S0022-0302(24)00935-4. doi: 10.3168/jds.2023-24576. Online ahead of print.,Jeffrey CE,J Dairy Sci,2024,6/22/2024,,,10.3168/jds.2023-24576
33589254,Proofs for genotype by environment interactions considering pedigree and genomic data from organic and conventional cow reference populations,"Shabalina T, Yin T, May K, König S.",J Dairy Sci. 2021 Apr;104(4):4452-4466. doi: 10.3168/jds.2020-19384. Epub 2021 Feb 13.,Shabalina T,J Dairy Sci,2021,2/16/2021,,,10.3168/jds.2020-19384
27865491,Prevalence and risk factors for extended-spectrum β-lactamase or AmpC-producing Escherichia coli in organic dairy herds in the Netherlands,"Santman-Berends IMGA, Gonggrijp MA, Hage JJ, Heuvelink AE, Velthuis A, Lam TJGM, van Schaik G.",J Dairy Sci. 2017 Jan;100(1):562-571. doi: 10.3168/jds.2016-11839. Epub 2016 Nov 17.,Santman-Berends IMGA,J Dairy Sci,2017,11/21/2016,,,10.3168/jds.2016-11839
37641314,Investigation of intramammary infections in primiparous cows during early lactation on organic dairy farms,"Peña-Mosca F, Dean C, Machado V, Fernandes L, Pinedo P, Doster E, Heins B, Sharpe K, Ray T, Feijoo V, Antunes A, Baumann C, Wehri T, Noyes N, Caixeta L.",J Dairy Sci. 2023 Dec;106(12):9377-9392. doi: 10.3168/jds.2022-23036. Epub 2023 Aug 23.,Peña-Mosca F,J Dairy Sci,2023,8/29/2023,,,10.3168/jds.2022-23036
16933702,"Management, feeding, production, reproduction and udder health on organic and conventional Swiss dairy farms","Roesch M, Doherr MG, Blum JW.",Schweiz Arch Tierheilkd. 2006 Aug;148(8):387-95. doi: 10.1024/0036-7281.148.8.387.,Roesch M,Schweiz Arch Tierheilkd,2006,8/29/2006,,,10.1024/0036-7281.148.8.387
34656345,Genetic parameters and association of national evaluations with breeding values for health traits in US organic Holstein cows,"Hardie LC, Haagen IW, Heins BJ, Dechow CD.",J Dairy Sci. 2022 Jan;105(1):495-508. doi: 10.3168/jds.2021-20588. Epub 2021 Oct 14.,Hardie LC,J Dairy Sci,2022,10/17/2021,,,10.3168/jds.2021-20588
17183093,Treatment practices and quantification of antimicrobial drug usage in conventional and organic dairy farms in Wisconsin,"Pol M, Ruegg PL.",J Dairy Sci. 2007 Jan;90(1):249-61. doi: 10.3168/jds.S0022-0302(07)72626-7.,Pol M,J Dairy Sci,2007,12/22/2006,,,10.3168/jds.S0022-0302(07)72626-7
38825099,Vaccination protocols in Québec dairy herds,"Morin MP, Fecteau G, Roy JP, Paradis MÈ, Dufour S.",J Dairy Sci. 2024 May 31:S0022-0302(24)00831-2. doi: 10.3168/jds.2023-24477. Online ahead of print.,Morin MP,J Dairy Sci,2024,6/2/2024,,,10.3168/jds.2023-24477
29778468,"Herd-level associations between human-animal relationship, management, fecal cortisol metabolites, and udder health of organic dairy cows","Ivemeyer S, Simantke C, Ebinghaus A, Poulsen PH, Sorensen JT, Rousing T, Palme R, Knierim U.",J Dairy Sci. 2018 Aug;101(8):7361-7374. doi: 10.3168/jds.2017-13912. Epub 2018 May 16.,Ivemeyer S,J Dairy Sci,2018,5/21/2018,,,10.3168/jds.2017-13912
15956309,Performance of dairy cows on Swiss farms with organic and integrated production,"Roesch M, Doherr MG, Blum JW.",J Dairy Sci. 2005 Jul;88(7):2462-75. doi: 10.3168/jds.S0022-0302(05)72924-6.,Roesch M,J Dairy Sci,2005,6/16/2005,,,10.3168/jds.S0022-0302(05)72924-6
23548286,Associations of risk factors with somatic cell count in bulk tank milk on organic and conventional dairy farms in the United States,"Cicconi-Hogan KM, Gamroth M, Richert R, Ruegg PL, Stiglbauer KE, Schukken YH.",J Dairy Sci. 2013 Jun;96(6):3689-702. doi: 10.3168/jds.2012-6271. Epub 2013 Mar 30.,Cicconi-Hogan KM,J Dairy Sci,2013,4/4/2013,,,10.3168/jds.2012-6271
25015183,A comparative study of production performance and animal health practices in organic and conventional dairy systems,"Silva JB, Fagundes GM, Soares JP, Fonseca AH, Muir JP.",Trop Anim Health Prod. 2014 Oct;46(7):1287-95. doi: 10.1007/s11250-014-0642-1. Epub 2014 Jul 12.,Silva JB,Trop Anim Health Prod,2014,7/13/2014,,,10.1007/s11250-014-0642-1
14633366,A comparison of antimicrobial susceptibility patterns for Staphylococcus aureus in organic and conventional dairy herds,"Tikofsky LL, Barlow JW, Santisteban C, Schukken YH.",Microb Drug Resist. 2003;9 Suppl 1:S39-45. doi: 10.1089/107662903322541883.,Tikofsky LL,Microb Drug Resist,2003,11/25/2003,,,10.1089/107662903322541883
18922194,"A comparison of management practices, farmer-perceived disease incidence and winter housing on organic and non-organic dairy farms in the UK","Langford FM, Rutherford KM, Jack MC, Sherwood L, Lawrence AB, Haskell MJ.",J Dairy Res. 2009 Feb;76(1):6-14. doi: 10.1017/S0022029908003622. Epub 2008 Oct 16.,Langford FM,J Dairy Res,2009,10/17/2008,,,10.1017/S0022029908003622
16507693,Comparison of antibiotic resistance of udder pathogens in dairy cows kept on organic and on conventional farms,"Roesch M, Perreten V, Doherr MG, Schaeren W, Schällibaum M, Blum JW.",J Dairy Sci. 2006 Mar;89(3):989-97. doi: 10.3168/jds.S0022-0302(06)72164-6.,Roesch M,J Dairy Sci,2006,3/2/2006,,,10.3168/jds.S0022-0302(06)72164-6
37923212,Associations between early lactation intramammary infections and udder health and performance during the first 180 days in milk in first-lactation organic dairy cows,"Peña-Mosca F, Dean C, Fernandes L, Doster E, Sharpe K, Ray T, Feijoo V, Antunes A, Baumann C, Wehri T, Heins B, Pinedo P, Machado V, Noyes N, Caixeta L.",J Dairy Sci. 2024 Apr;107(4):2426-2443. doi: 10.3168/jds.2023-23924. Epub 2023 Nov 2.,Peña-Mosca F,J Dairy Sci,2024,11/3/2023,,,10.3168/jds.2023-23924
11995391,Reduced medication in organic farming with emphasis on organic dairy production,"Vaarst M, Bennedsgaard TW.",Acta Vet Scand Suppl. 2001;95:51-7.,Vaarst M,Acta Vet Scand Suppl,2001,5/9/2002,,,
19620659,The effect of organic status and management practices on somatic cell counts on UK dairy farms,"Haskell MJ, Langford FM, Jack MC, Sherwood L, Lawrence AB, Rutherford KM.",J Dairy Sci. 2009 Aug;92(8):3775-80. doi: 10.3168/jds.2009-2105.,Haskell MJ,J Dairy Sci,2009,7/22/2009,,,10.3168/jds.2009-2105
24140332,"Risk factors associated with bulk tank standard plate count, bulk tank coliform count, and the presence of Staphylococcus aureus on organic and conventional dairy farms in the United States","Cicconi-Hogan KM, Gamroth M, Richert R, Ruegg PL, Stiglbauer KE, Schukken YH.",J Dairy Sci. 2013;96(12):7578-90. doi: 10.3168/jds.2012-6505. Epub 2013 Oct 17.,Cicconi-Hogan KM,J Dairy Sci,2013,10/22/2013,,,10.3168/jds.2012-6505
9120075,Patterns of clinical mastitis manifestations in Danish organic dairy herds,"Vaarst M, Enevoldsen C.",J Dairy Res. 1997 Feb;64(1):23-37. doi: 10.1017/s002202999600194x.,Vaarst M,J Dairy Res,1997,2/1/1997,,,10.1017/s002202999600194x
20141638,"Reproductive performance, udder health, and antibiotic resistance in mastitis bacteria isolated from Norwegian Red cows in conventional and organic farming","Garmo RT, Waage S, Sviland S, Henriksen BI, Østerås O, Reksen O.",Acta Vet Scand. 2010 Feb 8;52(1):11. doi: 10.1186/1751-0147-52-11.,Garmo RT,Acta Vet Scand,2010,2/10/2010,PMC2829576,,10.1186/1751-0147-52-11
35331896,Cow-related factors associated with intramammary infections during the 1st week postpartum in primiparous dairy cows in certified organic herds,"Fernandes L, Celestino ML, Menta PR, Silva TH, Paiva D, Ribeiro TL, Caixeta LS, Noyes NR, Machado VS.",Vet J. 2022 Apr;282:105822. doi: 10.1016/j.tvjl.2022.105822. Epub 2022 Mar 22.,Fernandes L,Vet J,2022,3/25/2022,,,10.1016/j.tvjl.2022.105822
31433237,Risk Factors for the Occurrence of Methicillin-Resistant Staphylococcus aureus in Dairy Herds: An Update,"Schnitt A, Tenhagen BA.",Foodborne Pathog Dis. 2020 Oct;17(10):585-596. doi: 10.1089/fpd.2019.2638. Epub 2019 Aug 28.,Schnitt A,Foodborne Pathog Dis,2020,8/22/2019,PMC7549011,,10.1089/fpd.2019.2638
15006764,Comparison of prevalence and antimicrobial susceptibilities of Campylobacter spp. isolates from organic and conventional dairy herds in Wisconsin,"Sato K, Bartlett PC, Kaneene JB, Downes FP.",Appl Environ Microbiol. 2004 Mar;70(3):1442-7. doi: 10.1128/AEM.70.3.1442-1447.2004.,Sato K,Appl Environ Microbiol,2004,3/10/2004,PMC368295,,10.1128/AEM.70.3.1442-1447.2004
34001359,Antimicrobial susceptibilities in dairy herds that differ in dry cow therapy usage,"McDougall S, Penry J, Dymock D.",J Dairy Sci. 2021 Aug;104(8):9142-9163. doi: 10.3168/jds.2020-19925. Epub 2021 May 15.,McDougall S,J Dairy Sci,2021,5/18/2021,,,10.3168/jds.2020-19925
23932134,Comparisons of milk quality on North Carolina organic and conventional dairies,"Mullen KA, Sparks LG, Lyman RL, Washburn SP, Anderson KL.",J Dairy Sci. 2013 Oct;96(10):6753-62. doi: 10.3168/jds.2012-6519. Epub 2013 Aug 9.,Mullen KA,J Dairy Sci,2013,8/13/2013,,,10.3168/jds.2012-6519
17125515,Resistance to penicillin of Staphylococcus aureus isolates from cows with high somatic cell counts in organic and conventional dairy herds in Denmark,"Bennedsgaard TW, Thamsborg SM, Aarestrup FM, Enevoldsen C, Vaarst M, Christoffersen AB.",Acta Vet Scand. 2006 Nov 24;48(1):24. doi: 10.1186/1751-0147-48-24.,Bennedsgaard TW,Acta Vet Scand,2006,11/28/2006,PMC1687190,,10.1186/1751-0147-48-24
17183094,Relationship between antimicrobial drug usage and antimicrobial susceptibility of gram-positive mastitis pathogens,"Pol M, Ruegg PL.",J Dairy Sci. 2007 Jan;90(1):262-73. doi: 10.3168/jds.S0022-0302(07)72627-9.,Pol M,J Dairy Sci,2007,12/22/2006,,,10.3168/jds.S0022-0302(07)72627-9
24393179,Strategies used by dairy family farmers in the south of Brazil to comply with organic regulations,"Honorato LA, Machado Filho LC, Barbosa Silveira ID, Hötzel MJ.",J Dairy Sci. 2014 Mar;97(3):1319-27. doi: 10.3168/jds.2012-6532. Epub 2014 Jan 4.,Honorato LA,J Dairy Sci,2014,1/8/2014,,,10.3168/jds.2012-6532
27845018,Is lack of antibiotic usage affecting udder health status of organic dairy cattle?,"Orjales I, López-Alonso M, Rodríguez-Bermúdez R, Rey-Crespo F, Villar A, Miranda M.",J Dairy Res. 2016 Nov;83(4):464-467. doi: 10.1017/S0022029916000601.,Orjales I,J Dairy Res,2016,11/16/2016,,,10.1017/S0022029916000601
17099178,Animal health and disease therapy on organic dairy farms in the Republic of Ireland,"O'Mahony MC, Healy AM, O'Farrell KJ, Doherty ML.",Vet Rec. 2006 Nov 11;159(20):680-2. doi: 10.1136/vr.159.20.680.,O'Mahony MC,Vet Rec,2006,11/14/2006,,,10.1136/vr.159.20.680
17297132,A total merit selection index for Ontario organic dairy farmers,"Rozzi P, Miglior F, Hand KJ.",J Dairy Sci. 2007 Mar;90(3):1584-93. doi: 10.3168/jds.S0022-0302(07)71644-2.,Rozzi P,J Dairy Sci,2007,2/14/2007,,,10.3168/jds.S0022-0302(07)71644-2
22444993,Management factors affecting udder health and effects of a one year extension program in organic dairy herds,"Ivemeyer S, Walkenhorst M, Heil F, Notz C, Maeschli A, Butler G, Klocke P.",Animal. 2009 Nov;3(11):1596-604. doi: 10.1017/S1751731109990498.,Ivemeyer S,Animal,2009,3/27/2012,,,10.1017/S1751731109990498
17706819,Udder health at a Swedish research farm with both organic and conventional dairy cow management,"Fall N, Emanuelson U, Martinsson K, Jonsson S.",Prev Vet Med. 2008 Feb 1;83(2):186-95. doi: 10.1016/j.prevetmed.2007.07.003. Epub 2007 Aug 16.,Fall N,Prev Vet Med,2008,8/21/2007,,,10.1016/j.prevetmed.2007.07.003
32828505,Udder health of early-lactation primiparous dairy cows based on somatic cell count categories,"Persson Waller K, Lundberg Å, Nyman AK.",J Dairy Sci. 2020 Oct;103(10):9430-9445. doi: 10.3168/jds.2020-18346. Epub 2020 Aug 20.,Persson Waller K,J Dairy Sci,2020,8/24/2020,,,10.3168/jds.2020-18346
38497641,Exploring associations between the teat apex metagenome and Staphylococcus aureus intramammary infections in primiparous cows under organic directives,"Dean CJ, Peña-Mosca F, Ray T, Wehri TJ, Sharpe K, Antunes AM Jr, Doster E, Fernandes L, Calles VF, Bauman C, Godden S, Heins B, Pinedo P, Machado VS, Caixeta LS, Noyes NR.",Appl Environ Microbiol. 2024 Apr 17;90(4):e0223423. doi: 10.1128/aem.02234-23. Epub 2024 Mar 18.,Dean CJ,Appl Environ Microbiol,2024,3/18/2024,PMC11022539,,10.1128/aem.02234-23
38409123,An observational study demonstrates human-adapted Staphylococcus aureus strains have a higher frequency of antibiotic resistance compared to cattle-adapted strains isolated from dairy farms making farmstead cheese,"Chakrawarti A, Casey CL, Burk A, Mugabi R, Ochoa A, Barlow JW.",BMC Vet Res. 2024 Feb 27;20(1):75. doi: 10.1186/s12917-024-03910-6.,Chakrawarti A,BMC Vet Res,2024,2/26/2024,PMC10898128,,10.1186/s12917-024-03910-6
28341052,"Factors associated with intramammary infection in dairy cows caused by coagulase-negative staphylococci, Staphylococcus aureus, Streptococcus uberis, Streptococcus dysgalactiae, Corynebacterium bovis, or Escherichia coli","Taponen S, Liski E, Heikkilä AM, Pyörälä S.",J Dairy Sci. 2017 Jan;100(1):493-503. doi: 10.3168/jds.2016-11465. Epub 2016 Oct 27.,Taponen S,J Dairy Sci,2017,3/26/2017,,,10.3168/jds.2016-11465
10674698,Health status of dairy herds in organic farming,"Weller RF, Bowling PJ.",Vet Rec. 2000 Jan 15;146(3):80-1. doi: 10.1136/vr.146.3.80.,Weller RF,Vet Rec,2000,2/16/2000,,,10.1136/vr.146.3.80
18024724,Methicillin-resistant Staphylococcus epidermidis in organic milk production,"Walther C, Perreten V.",J Dairy Sci. 2007 Dec;90(12):5351. doi: 10.3168/jds.2007-0547.,Walther C,J Dairy Sci,2007,11/21/2007,,,10.3168/jds.2007-0547
