cow_id,quarter,first_date,first_visit,first_farm,first_order,first_path_1,first_path1_IMI,first_path_2,first_path2_IMI,first_path_3,first_path3_IMI,first_path_4,first_path4_IMI,first_quarter_code,first_isolate_1,first_isolate_2,first_isolate_3,first_isolate_4,first_clinical,first_blind,first_teatinj,first_pstmilking,first_mixed_inf_series,first_dup_not_collected,first_IMI_series,first_hygiene_1,first_hygiene_2,first_cc_1,first_cc_2,first_cc_3,first_scc,first_contam,first_contam_comment,first_uniqueID,second_date,second_visit,second_farm,second_order,second_path_1,second_path1_IMI,second_path_2,second_path2_IMI,second_path_3,second_path3_IMI,second_path_4,second_path4_IMI,second_quarter_code,second_isolate_1,,second_isolate_2,second_isolate_3,second_isolate_4,second_clinical,second_blind,second_teatinj,second_pstmilking,second_mixed_inf_series,second_dup_not_collected,second_IMI_series,second_hygiene_1,second_hygiene_2,second_cc_1,second_cc_2,second_cc_3,second_scc,second_contam,second_contam_comment,second_uniqueID,third_date,third_visit,third_farm,third_order,third_path_1,third_path1_IMI,third_path_2,third_path2_IMI,third_path_3,third_path3_IMI,third_path_4,third_path4_IMI,third_quarter_code,third_isolate_1,third_isolate_2,third_isolate_3,third_isolate_4,third_clinical,third_blind,third_teatinj,third_pstmilking,third_mixed_inf_series,third_dup_not_collected,third_IMI_series,third_hygiene_1,third_hygiene_2,third_cc_1,third_cc_2,third_cc_3,third_scc,third_contam,third_contam_comment,third_uniqueID,fourth_date,fourth_visit,fourth_farm,fourth_order,fourth_path_1,fourth_path1_IMI,fourth_path_2,fourth_path2_IMI,fourth_path_3,fourth_path3_IMI,fourth_path_4,fourth_path4_IMI,fourth_quarter_code,fourth_isolate_1,fourth_isolate_2,fourth_isolate_3,fourth_isolate_4,fourth_clinical,fourth_blind,fourth_teatinj,fourth_pstmilking,fourth_mixed_inf_series,fourth_dup_not_collected,fourth_IMI_series,fourth_hygiene_1,fourth_hygiene_2,fourth_cc_1,fourth_cc_2,fourth_cc_3,fourth_scc,fourth_contam,fourth_contam_comment,fourth_uniqueID,first_scc_200k,second_scc_200k,third_scc_200k,fourth_scc_200k
114_Glennview,LF,1.14.2020,first,Glennview,24,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,114_Glennview_LF,2.19.2020,second,Glennview,5,corynebac,yes1,,,,,,,1,GV053,corynebacterium casei,,,,,,,,no,,yes,NA,NA,NA,NA,NA,40000,,,114_Glennview_LF,3.19.2020,third,Glennview,33,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,22000,,,114_Glennview_LF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114_Glennview_LF_fourth,no,no,no,NA
194_Glennview,RH,1.14.2020,first,Glennview,32,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,194_Glennview_RH,2.19.2020,second,Glennview,6,strep,yes27,corynebac,yes27,,,,,27,GV056,mixed,GV057,,,,,,,yes,,yes,NA,NA,NA,NA,NA,10000,,,194_Glennview_RH,3.19.2020,third,Glennview,1,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,7000,,,194_Glennview_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194_Glennview_RH_fourth,no,no,no,NA
670_BJ,RH,12.17.2019,first,BJ,9,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,16000,,,670_BJ_RH,1.29.2020,second,BJ,10,corynebac,yes2,,,,,,,2,BJ039,corynebacterium variabile,,,,,,,,no,,yes,NA,NA,NA,NA,NA,37000,,,670_BJ_RH,2.26.2020,third,BJ,10,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,27000,,,670_BJ_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670_BJ_RH_fourth,no,no,no,NA
716_BJ,RF,12.17.2019,first,BJ,4,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,716_BJ_RF,1.29.2020,second,BJ,9,corynebac,yes1,,,,,,,1,BJ038,corynebacterium casei,,,,,,,,no,,yes,NA,NA,NA,NA,NA,2000,,,716_BJ_RF,2.26.2020,third,BJ,11,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,10000,,,716_BJ_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716_BJ_RF_fourth,no,no,no,NA
722_BJ,LH,12.17.2019,first,BJ,29,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,722_BJ_LH,1.29.2020,second,BJ,29,corynebac,yes2,,,,,,,2,BJ048,corynebacterium casei,,,,,,,,no,,yes,NA,NA,NA,NA,NA,26000,,,722_BJ_LH,2.26.2020,third,BJ,28,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,9000,,,722_BJ_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722_BJ_LH_fourth,no,no,no,NA
honey_OughtaBe,LH,1.3.2020,first,OughtaBe,31,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,29000,,,honey_OughtaBe_LH,2.14.2020,second,OughtaBe,29,cns,yes1,,,,,,,1,OB095,kocuria species,,,,,,,,no,,yes,NA,NA,NA,NA,NA,78000,,,honey_OughtaBe_LH,3.12.2020,third,OughtaBe,29,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,15000,,,honey_OughtaBe_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,honey_OughtaBe_LH_fourth,no,no,no,NA
jewel_Swallowdale,RH,12.13.2019,first,Swallowdale,31,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,5000,,,jewel_Swallowdale_RH,1.22.2020,second,Swallowdale,34,cns,yes27,cns,other35,,,,,35,SW090,mixed,SW092,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,24000,,,jewel_Swallowdale_RH,2.28.2020,third,Swallowdale,25,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,0,,,jewel_Swallowdale_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jewel_Swallowdale_RH_fourth,no,no,no,NA
lena_vonTrapp,RF,1.6.2020,first,vonTrapp,5,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,lena_vonTrapp_RF,2.12.2020,second,vonTrapp,3,cns,yes2,,,,,,,2,VT036,staphylococcus vitulinus ,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,lena_vonTrapp_RF,3.10.2020,third,vonTrapp,10,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,lena_vonTrapp_RF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lena_vonTrapp_RF_fourth,no,no,no,NA
lena_vonTrapp,RH,1.6.2020,first,vonTrapp,5,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,lena_vonTrapp_RH,2.12.2020,second,vonTrapp,3,?,yes2,,,,,,,2,VT035,gram-neg noncoliform organism_rods,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,lena_vonTrapp_RH,3.10.2020,third,vonTrapp,10,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,4000,,,lena_vonTrapp_RH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lena_vonTrapp_RH_fourth,NA,no,no,NA
shania291_Paddlebridge,LH,1.17.2020,first,Paddlebridge,23,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,48000,,,shania291_Paddlebridge_LH,2.21.2020,second,Paddlebridge,25,?,yes27,corynebac,yes27,,,,,27,PB048,mixed,PB049,,,,,,,yes,,yes,NA,NA,NA,NA,NA,17000,,,shania291_Paddlebridge_LH,3.20.2020,third,Paddlebridge,26,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,20000,,,shania291_Paddlebridge_LH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shania291_Paddlebridge_LH_fourth,no,no,no,NA
12_Choiniere,RF,12.11.2019,first,Choiniere,13,corynebac,yes2,,,,,,,2,CF027,,,,,,,,no,,yes,NA,NA,NA,NA,NA,16000,,,12_Choiniere_RF,1.21.2020,second,Choiniere,14,,,,,,,,,5,,,,,,,,,,,,,NA,NA,NA,NA,NA,32000,,,12_Choiniere_RF,2.17.2020,third,Choiniere,14,cns,yes2,,,,,,,2,CF153,corynebacterium casei,,,,,,,no,,yes,NA,NA,NA,NA,NA,42000,,,12_Choiniere_RF,3.16.2020,fourth,Choiniere,9,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,66000,,,12_Choiniere_RF_fourth,no,no,no,no
