Loc.,UniqueID,status,Farm,visit,Cow_Name,Quarter
A1,hosana_vonTrapp_LF_first,nnyt,vonTrapp,first,Patchouli,LF
A2,bon_Butterworks_RF_first,yyy,Butterworks,first,Bon,RF
A3,jazz_Swallowdale_LH_third,nyyt,Swallowdale,third,Jazz,LH
A4,denise_Swallowdale_RH_third,nyyt,Swallowdale,third,Denise,RH
A5,Swallowdale_BTM_2,btm,Swallowdale,second,,
A6,lena_vonTrapp_RF_second,nynt,vonTrapp,second,Lena,RF
A7,honey_OughtaBe_RF_first,yyy,OughtaBe,first,Honey,RF
A8,life_Lynd_LF_second,yyyt,Lynd,second,Life,LF
A9,12_Choiniere_RF_fourth,nynt,Choiniere,fourth,12,RF
A10,gronk22_Paddlebridge_RH_second,nnn,Paddlebridge,second,Gronk22,RH
A11,butterfly_OughtaBe_RH_second,nnn,OughtaBe,second,Butterfly,RH
A12,3_Choiniere_RH_second,nyyt,Choiniere,second,3,RH
A13,54_Choiniere_LF_third,nnn,Choiniere,third,54,LF
A14,alma_vonTrapp_LH_third,nnn,vonTrapp,third,Alma,LH
A15,3_Choiniere_RH_third,nyyt,Choiniere,third,3,RH
A16,margo_StonyPond_RH_first,nnn,StonyPond,first,Margo,RH
A17,757_BJ_RF_third,nnn,BJ,third,757,RF
A18,echo_StonyPond_LH_first,yyy,StonyPond,first,Echo,LH
A19,17_Choiniere_RH_first,yyyt,Choiniere,first,17,RH
A20,likely30_Paddlebridge_RF_third,yyy,Paddlebridge,third,Likely30,RF
A21,shania291_Paddlebridge_LH_first,nynt,Paddlebridge,first,Shania291,LH
A22,rhubarb_Butterworks_LF_second,nnn,Butterworks,second,Rhubarb,LF
A23,685_BJ_LF_second,nnn,BJ,second,685,LF
A24,gift379_Paddlebridge_RF_third,yyy,Paddlebridge,third,Gift379,RF
A25,fitzi13_Paddlebridge_RF_second,yyyt,Paddlebridge,second,Fitzi31,RF
A26,leap_Lynd_RH_third,nnn,Lynd,third,Leap,RH
A27,amarillo_Lynd_RF_second,yyy,Lynd,second,Amarillo,RF
A28,teach_OughtaBe_LH_second,nnn,OughtaBe,second,Teach,LH
A29,annabeth2_Paddlebridge_LF_third,nyyt,Paddlebridge,third,Annabeth2,LF
A30,jersey_OughtaBe_RH_first,nyyt,OughtaBe,first,Jersey,RH
A31,ardetta_vonTrapp_RF_first,yyy,vonTrapp,first,Ardetta,RF
A32,deedee_Swallowdale_RF_first,nnnt,Swallowdale,first,Deedee,RF
A33,zelda_vonTrapp_LF_first,yyyt,vonTrapp,first,Zelda,LF
A34,114_Glennview_LF_second,nynt,Glennview,second,114,LF
A35,gift379_Paddlebridge_LF_third,yyy,Paddlebridge,third,Gift379,LF
A36,manzana_Butterworks_RH_third,yyyt,Butterworks,third,Manzana,RH
A37,753_BJ_LH_first,nnnt,BJ,first,753,LH
A38,74_Choiniere_RH_second,nyyt,Choiniere,second,74,RH
A39,OughtaBe_BTM_3,btm,OughtaBe,third,,
A40,marney382_Paddlebridge_LH_third,nyyt,Paddlebridge,third,Marney382,LH
A41,gif9_Paddlebridge_RH_third,nnn,Paddlebridge,third,Gif9,RH
A42,jewel_Swallowdale_LF_second,nnn,Swallowdale,second,Jewel,LF
A43,deedee_Swallowdale_RF_third,nnnt,Swallowdale,third,deedee,RF
A44,indie_vonTrapp_RF_third,nnn,vonTrapp,third,Indie,RF
A45,Glennview_BTM_1,btm,Glennview,first,,
A46,annabeth2_Paddlebridge_LF_second,nyyt,Paddlebridge,second,Annabeth2,LF
A47,93_Choiniere_LF_third,nyyt,Choiniere,third,93,LF
A48,picknick_Swallowdale_LH_third,nnn,Swallowdale,third,Picknick,LH
A49,vonTrapp_BTM_1,btm,vonTrapp,first,,
A50,flavia_vonTrapp_RH_second,yyy,vonTrapp,second,Flavia,RH
A52,joy_Butterworks_RH_third,nnn,Butterworks,third,Joy,RH
A53,StonyPond_BTM_2,btm,StonyPond,second,,
A54,panda_vonTrapp_RH_second,yyy,vonTrapp,second,Panda,RH
A55,spot_OughtaBe_RF_second,nnn,OughtaBe,second,spot,RF
A56,12_Choiniere_RF_second,nynt,Choiniere,second,12,RF
A57,722_BJ_LH_first,nynt,BJ,first,722,LH
A58,zelda_vonTrapp_LF_second,yyyt,vonTrapp,second,Zelda,LF
A59,ladyfinger_Lynd_RH_third,yyy,Lynd,third,Ladyfinger,RH
A60,720_BJ_RF_third,nyyt,BJ,third,720,RF
A61,simply314_Paddlebridge_LH_second,nnnt,Paddlebridge,second,Simply314,LH
A62,716_BJ_RF_third,nynt,BJ,third,716,RF
A63,bullet_OughtaBe_LF_third,nnn,OughtaBe,third,Bullet,LF
A64,sapphire338_Paddlebridge_RH_third,yyy,Paddlebridge,third,Sapphire338,RH
A65,670_BJ_RH_first,nynt,BJ,first,670,RH
A66,marney382_Paddlebridge_LH_second,nyyt,Paddlebridge,second,Marney382,LH
A67,nona_Butterworks_RH_third,nnn,Butterworks,third,Nona,RH
A68,mango_Butterworks_LF_third,nnnt,Butterworks,third,mango,LF
A69,life_Lynd_LF_first,yyyt,Lynd,first,Life,LF
A70,17_Choiniere_RH_third,yyyt,Choiniere,third,17,RH
A71,jazz_Swallowdale_LH_second,nyyt,Swallowdale,second,Jazz,LH
A72,snowball_Butterworks_RF_first,yyyt,Butterworks,first,Snowball,RF
A73,halo_Swallowdale_RF_second,nnn,Swallowdale,second,halo,RF
A74,StonyPond_BTM_1,btm,StonyPond,first,,
A75,720_BJ_RH_first,yyy,BJ,first,720,RH
A76,BJ_BTM_3,btm,BJ,third,,
A77,jewel_Swallowdale_RH_third,nynt,Swallowdale,third,Jewel,RH
A78,cassia_Swallowdale_RH_second,yyy,Swallowdale,second,Cassia,RH
A79,cb5_BJ_RF_third,nnn,BJ,third,CB5,RF
A80,snowball_Butterworks_RF_third,yyyt,Butterworks,third,Snowball,RF
A81,shiela375_Paddlebridge_RH_second,yyyt,Paddlebridge,second,Shiela375,RH
B1,rabbit_OughtaBe_LH_first,nnn,OughtaBe,first,Rabbit,LH
B2,kyra35_Paddlebridge_RH_first,yyy,Paddlebridge,first,Kyra35,RH
B3,716_BJ_RF_first,nynt,BJ,first,716,RF
B4,bullet_OughtaBe_RH_second,nnn,OughtaBe,second,Bullet,RH
B5,Lynd_BTM_1,btm,Lynd,first,,
B6,rashida_StonyPond_LH_first,yyy,StonyPond,first,Rashida,LH
B7,wmca_Lynd_LH_first,nnnt,Lynd,first,WMCA,LH
B8,fitzi13_Paddlebridge_RF_third,yyyt,Paddlebridge,third,Fitzi31,RF
B9,722_BJ_LH_second,nynt,BJ,second,722,LH
B10,wynona_StonyPond_LH_first,yyy,StonyPond,first,Wynona,LH
B11,199_Glennview_LF_third,nnnt,Glennview,third,199,LF
B12,ursala_vonTrapp_LF_second,nnn,vonTrapp,second,Ursala,LF
B13,3_Choiniere_RH_first,nyyt,Choiniere,first,3,RH
B14,skyler_Swallowdale_LH_second,nnyt,Swallowdale,second,Skyler,LH
B15,199_Glennview_LF_second,nnnt,Glennview,second,199,LF
B16,fresno_Lynd_RH_third,nnn,Lynd,third,Fresno,RH
B17,farrah363_Paddlebridge_RH_third,nnn,Paddlebridge,third,Farrah363,RH
B18,willy_Lynd_LF_second,nnn,Lynd,second,Willy,LF
B19,esme_vonTrapp_RF_second,nnn,vonTrapp,second,Esme,RF
B20,wynona_StonyPond_LF_second,yyy,StonyPond,second,Wynona,LF
B21,Butterworks_BTM_1,btm,Butterworks,first,,
B23,vonTrapp_BTM_2,btm,vonTrapp,second,,
B24,cb5_BJ_LH_third,yyy,BJ,third,CB5,LH
B25,Glennview_BTM_2,btm,Glennview,second,,
B26,daisy_StonyPond_LH_first,nnn,StonyPond,first,Daisy,LH
B27,52_Choiniere_LF_fourth,nnn,Choiniere,fourth,52,LF
B28,4_Choiniere_RF_first,yyy,Choiniere,first,4,RF
B29,kyra35_Paddlebridge_RH_third,yyy,Paddlebridge,third,Kyra35,RH
B30,saige313_Paddlebridge_RH_third,yyy,Paddlebridge,third,saige313,RH
B31,racer_OughtaBe_LH_third,yyy,OughtaBe,third,Racer,LH
B32,722_BJ_LH_third,nynt,BJ,third,722,LH
B33,80_Glennview_RF_first,nnn,Glennview,first,80,RF
B34,peaches_StonyPond_LH_second,yyy,StonyPond,second,Peaches,LH
B35,kit_OughtaBe_LH_first,yyy,OughtaBe,first,Kit,LH
B36,lilac_Butterworks_RH_first,yyy,Butterworks,first,Lilac,RH
B37,paige_Swallowdale_RH_second,yyy,Swallowdale,second,Paige,RH
B38,585_BJ_RH_third,nnn,BJ,third,585,RH
B39,aloha_OughtaBe_RF_third,nnn,OughtaBe,third,Aloha,RF
B40,simply314_Paddlebridge_LH_third,nnnt,Paddlebridge,third,Simply314,LH
B41,tallula_vonTrapp_RH_second,nnn,vonTrapp,second,Tallula,RH
B42,193_Glennview_RF_second,yyy,Glennview,second,193,RF
B43,paige_Swallowdale_RH_first,yyy,Swallowdale,first,Paige,RH
B44,74_Choiniere_RH_first,nyyt,Choiniere,first,74,RH
B45,42_Glennview_LF_third,yyy,Glennview,third,42,LF
B46,Ambrosia_Lynd_RH_third,nnn,Lynd,third,Ambrosia,RH
B47,Swallowdale_BTM_1,btm,Swallowdale,first,,
B48,fitzi13_Paddlebridge_RF_first,yyyt,Paddlebridge,first,Fitzi31,RF
B49,12_Choiniere_RF_first,nynt,Choiniere,first,12,RF
B50,laura558_Paddlebridge_RH_second,nnn,Paddlebridge,second,laura558,RH
B51,kowabunga_Lynd_LF_second,yyyt,Lynd,second,Kowabunga,LF
B52,lish_StonyPond_RF_second,nnn,StonyPond,second,Lish,RF
B53,lena_vonTrapp_RF_first,nynt,vonTrapp,first,Lena,RF
B54,shiela375_Paddlebridge_RH_third,yyyt,Paddlebridge,third,Shiela375,RH
B55,alf_OughtaBe_RH_first,nnn,OughtaBe,first,Alf,RH
B56,shania291_Paddlebridge_LH_third,nynt,Paddlebridge,third,Shania291,LH
B57,74_Choiniere_RH_fourth,nyyt,Choiniere,fourth,74,RH
B58,kowabunga_Lynd_RF_third,yyy,Lynd,third,Kowabunga,RF
B59,gift379_Paddlebridge_LF_first,yyy,Paddlebridge,first,Gift379,LF
B60,seraphina_vonTrapp_LH_second,nnn,vonTrapp,second,Seraphina,LH
B61,9_Choiniere_RH_fourth,nyyt,Choiniere,fourth,9,RH
B62,amarillo_Lynd_LH_second,yyy,Lynd,second,Amarillo,LH
B63,17_Choiniere_RH_second,yyyt,Choiniere,second,17,RH
B64,lena_vonTrapp_RH_second,nynt,vonTrapp,second,Lena,RH
B65,lena_vonTrapp_RH_third,nynt,vonTrapp,third,Lena,RH
B66,skyler_Swallowdale_LH_third,nnyt,Swallowdale,third,Skyler,LH
B67,744_BJ_LF_second,nnn,BJ,second,744,LF
B68,ladyfinger_Lynd_LF_second,nnn,Lynd,second,Ladyfinger,LF
B69,mustache_Lynd_RH_second,nnn,Lynd,second,Mustache,RH
B70,mango_Butterworks_LF_first,nnnt,Butterworks,first,mango,LF
B71,Lilac_Butterworks_LH_second,nnyt,BW,second,Lilac,LH
B72,Choiniere_BTM_4,btm,Choiniere,fourth,,
B73,luna_vonTrapp_RF_third,nnnt,vonTrapp,third,Luna,RF
B74,74_Choiniere_RH_third,nyyt,Choiniere,third,74,RH
B75,denise_Swallowdale_RH_second,nyyt,Swallowdale,second,Denise,RH
B76,jazz_Swallowdale_LH_first,nyyt,Swallowdale,first,Jazz,LH
B77,gloria_vonTrapp_LF_second,yyy,vonTrapp,second,Gloria,LF
B78,93_Choiniere_LF_second,nyyt,Choiniere,second,93,LF
B79,56_Choiniere_LF_third,yyy,Choiniere,third,56,LF
B80,731_BJ_LF_first,yyy,BJ,first,731,LF
B81,echo_StonyPond_LF_second,nnn,StonyPond,second,Echo,LF
C1,petunia_Butterworks_LH_second,yyy,Butterworks,second,Petunia,LH
C2,185_Glennview_LH_second,nnnt,Glennview,second,185,LH
C3,rhubarb_Butterworks_RH_third,nnn,Butterworks,third,Rhubarb,RH
C4,716_BJ_LH_first,yyyt,BJ,first,716,LH
C5,applecore_Butterworks_LH_first,yyy,Butterworks,first,Applecore,LH
C6,kandykorn_OughtaBe_LF_third,yyy,OughtaBe,third,Kandykorn,LF
C7,Lilac_Butterworks_LH_third,nnyt,BW,third,Lilac,LH
C8,185_Glennview_LF_third,nnn,Glennview,third,185,LF
C9,daisy_StonyPond_RF_second,nnn,StonyPond,second,Daisy,RF
C10,happiness_Butterworks_RF_third,nnn,Butterworks,third,Happiness,RF
C11,aubrey_StonyPond_LF_second,nnn,StonyPond,second,Aubrey,LF
C12,56_Choiniere_LF_second,yyyt,Choiniere,second,56,LF
C13,indie_vonTrapp_RH_third,nnnt,vonTrapp,third,Indie,RH
C14,simply314_Paddlebridge_LH_first,nnnt,Paddlebridge,first,Simply314,LH
C15,racer_OughtaBe_LH_second,yyy,OughtaBe,second,Racer,LH
C16,Glennview_BTM_3,btm,Glennview,third,,
C17,17_Choiniere_RH_first,yyy,Choiniere,first,17,RH
C18,flavia_vonTrapp_RH_first,yyy,vonTrapp,first,Flavia,RH
C19,185_Glennview_LH_third,nnnt,Glennview,third,185,LH
C20,56_Choiniere_LF_third,yyyt,Choiniere,third,56,LF
C21,debutant_Swallowdale_RF_second,nnn,Swallowdale,second,Debutant,RF
C22,Lynd_BTM_3,btm,Lynd,third,,
C23,jersey_OughtaBe_LF_first,yyy,OughtaBe,first,Jersey,LF
C24,Choiniere_BTM_3,btm,Choiniere,third,,
C25,simply314_Paddlebridge_RH_third,nnn,Paddlebridge,third,Simply314,RH
C26,manzana_Butterworks_RH_first,yyyt,Butterworks,first,Manzana,RH
C27,3_Choiniere_RH_fourth,nyyt,Choiniere,fourth,3,RH
C28,56_Choiniere_LF_first,yyyt,Choiniere,first,56,LF
C29,amber_Swallowdale_RH_third,nnn,Swallowdale,third,Amber,RH
C30,licorice_Lynd_RH_second,yyy,Lynd,second,Licorice,RH
C31,ashley_StonyPond_LH_first,yyy,StonyPond,first,Ashley,LH
C32,honey_OughtaBe_LF_second,nnn,OughtaBe,second,Honey,LF
C33,annabeth2_Paddlebridge_LF_first,nyyt,Paddlebridge,first,Annabeth2,LF
C34,jewel_Swallowdale_RH_first,nynt,Swallowdale,first,Jewel,RH
C35,happiness_Butterworks_LF_second,nnn,Butterworks,second,happiness,LF
C36,deedee_Swallowdale_RF_second,nnnt,Swallowdale,second,Deedee,RF
C37,loha32_Paddlebridge_LH_third,nnn,Paddlebridge,third,Loha32,LH
C38,zelda_vonTrapp_RF_third,nnn,vonTrapp,third,Zelda,RF
C39,honey_OughtaBe_LH_first,nynt,OughtaBe,first,Honey,LH
C40,cambric_Swallowdale_LH_second,yyy,Swallowdale,second,Cambric,LH
C41,Paddlebridge_BTM_2,btm,Paddlebridge,second,,
C42,delilah_StonyPond_RF_first,nnn,StonyPond,first,Delilah,RF
C43,OughtaBe_BTM_1,btm,OughtaBe,first,,
C44,Swallowdale_BTM_3,btm,Swallowdale,third,,
C45,margo_StonyPond_LH_second,yyy,StonyPond,second,Margo,LH
C46,doris_StonyPond_RH_first,nnn,StonyPond,first,Doris,RH
C47,riley_StonyPond_RF_first,yyy,StonyPond,first,Riley,RF
C49,9_Choiniere_RH_third,nyyt,Choiniere,third,9,RH
C50,indie_vonTrapp_RH_second,nnnt,vonTrapp,second,Indie,RH
C51,ferrari28_Paddlebridge_RH_first,yyy,Paddlebridge,first,Ferrari28,RH
C52,marshmellow_Swallowdale_RF_first,yyy,Swallowdale,first,Marshmellow,RF
C53,rashida_StonyPond_LH_second,yyy,StonyPond,second,Rashida,LH
C54,kowabunga_Lynd_RF_first,yyy,Lynd,first,Kowabunga,RF
C55,670_BJ_RH_second,nynt,BJ,second,670,RH
C56,Paddlebridge_BTM_3,btm,Paddlebridge,third,,
C57,whopper_StonyPond_RF_second,nnn,StonyPond,second,Whopper,RF
C58,saige313_Paddlebridge_LF_third,yyy,Paddlebridge,third,saige313,LF
C59,wmca_Lynd_LH_second,nnnt,Lynd,second,wmca,LH
C60,169_Glennview_RF_third,yyy,Glennview,third,169,RF
C61,farrent31_Paddlebridge_RH_first,yyy,Paddlebridge,first,Farrent31,RH
C62,Choiniere_BTM_1,btm,Choiniere,first,,
C63,whinnie_OughtaBe_LF_first,nnn,OughtaBe,first,Whinnie,LF
C64,hosana_vonTrapp_LF_third,nnyt,vonTrapp,third,Patchouli,LF
C65,jersey_OughtaBe_RH_third,nyyt,OughtaBe,third,Jersey,RH
C66,marney382_Paddlebridge_LH_first,nyyt,Paddlebridge,first,Marney382,LH
C67,gift379_Paddlebridge_RF_first,yyy,Paddlebridge,first,Gift379,RF
C68,skyler_Swallowdale_LH_first,nnyt,Swallowdale,first,Skyler,LH
C69,mustache_Lynd_RH_third,nnnt,Lynd,third,Ambrosia,RH
C70,nellie_Butterworks_RH_second,yyy,Butterworks,second,Nellie,RH
C71,hosana_vonTrapp_LF_second,nnyt,vonTrapp,second,patchouli,LF
C72,manzana_Butterworks_RH_second,yyyt,Butterworks,second,Manzana,RH
C73,bullet_OughtaBe_RH_third,nnn,OughtaBe,third,Bullet,RH
C74,fitzi13_Paddlebridge_RF_first,yyy,Paddlebridge,first,Fitzi31,RF
C75,snowball_Butterworks_RH_first,yyy,Butterworks,first,Snowball,RH
C76,jitterbug_Lynd_LF_second,nnn,Lynd,second,Jitterbug,LF
C77,bigred_StonyPond_LH_second,nnn,StonyPond,second,Bigred,LH
C78,flavia_vonTrapp_LF_second,yyy,vonTrapp,second,Flavia,LF
C79,114_Glennview_LF_third,nynt,Glennview,third,114,LF
C80,Lynd_BTM_2,btm,Lynd,second,,
C81,peace_Butterworks_LF_first,yyy,Butterworks,first,Peace,LF
D1,kodiak_Lynd_LH_second,nyyt,Lynd,second,Kodiak,LH
D2,farrah363_Paddlebridge_LF_first,yyy,Paddlebridge,first,Farrah363,LF
D3,wildcucumber_Butterworks_LH_first,yyy,Butterworks,first,Wildcucumber,LH
D4,shania291_Paddlebridge_LH_second,nynt,Paddlebridge,second,Shania291,LH
D5,luna_vonTrapp_RF_first,nnnt,vonTrapp,first,Luna,RF
D6,ambrosia_Lynd_LH_second,yyy,Lynd,second,Ambrosia,LH
D7,BJ_BTM_1,btm,BJ,first,,
D8,52_Choiniere_LF_third,nnn,Choiniere,third,52,LF
D9,mustache_Lynd_LH_third,nnn,Lynd,third,Mustache,LH
D10,jersey_OughtaBe_RH_second,nyyt,OughtaBe,second,Jersey,RH
D11,jewel_Swallowdale_RH_second,nynt,Swallowdale,second,Jewel,RH
D12,93_Choiniere_LF_fourth,nyyt,Choiniere,fourth,93,LF
D13,Butterworks_BTM_2,btm,Butterworks,second,,
D14,honey_OughtaBe_LH_third,nynt,OughtaBe,third,Honey,LH
D15,mustard_Butterworks_LF_third,nnn,Butterworks,third,Mustard,LF
D16,octavia42_Paddlebridge_RF_second,nnn,Paddlebridge,second,Octavia42,RF
D17,lena_vonTrapp_RH_first,nynt,vonTrapp,first,Lena,RH
D18,annabelle27_Paddlebridge_RH_third,nnn,Paddlebridge,third,Annabelle27,RH
D19,Lilac_Butterworks_LH_first,nnyt,BW,first,Lilac,LH
D20,Choiniere_BTM_2,btm,Choiniere,second,,
D21,mustache_Lynd_RH_first,nnnt,Lynd,first,Ambrosia,RH
D22,honey_OughtaBe_LF_third,nnn,OughtaBe,third,Honey,LF
D23,esme_vonTrapp_LH_second,yyy,vonTrapp,second,Esme,LH
D24,tallula_vonTrapp_RF_second,yyy,vonTrapp,second,Tallula,RF
D25,753_BJ_LH_second,nnnt,BJ,second,753,LH
D26,kyra35_Paddlebridge_RF_second,nnn,Paddlebridge,second,Kyra35,RF
D27,shiela375_Paddlebridge_RH_first,yyyt,Paddlebridge,first,Shiela375,RH
D28,flavia_vonTrapp_LF_first,yyy,vonTrapp,first,Flavia,LF
D29,luxurytax_Lynd_RF_second,nnn,Lynd,second,Luxurytax,RF
D30,penny_OughtaBe_LH_first,nnn,OughtaBe,first,Penny,LH
D31,185_Glennview_LF_second,nnn,Glennview,second,185,LF
D32,indie_vonTrapp_RH_first,nnnt,vonTrapp,first,Indie,RH
D33,720_BJ_LF_first,yyy,BJ,first,720,LF
D34,670_BJ_RH_third,nynt,BJ,third,670,RH
D35,720_BJ_RF_second,nyyt,BJ,second,720,RF
D36,716_BJ_LH_second,yyyt,BJ,second,716,LH
D37,720_BJ_RH_third,yyy,BJ,third,720,RH
D38,lena_vonTrapp_RF_third,nynt,vonTrapp,third,Lena,RF
D39,swallow377_Paddlebridge_RH_second,nnn,Paddlebridge,second,Swallow377,RH
D40,gif9_Paddlebridge_RF_second,nnn,Paddlebridge,second,Gif9,RF
D41,9_Choiniere_RH_first,nyyt,Choiniere,first,9,RH
D42,pledge_Swallowdale_RH_second,yyy,Swallowdale,second,Pledge,RH
D43,kowabunga_Lynd_LF_third,yyyt,Lynd,third,Kowabunga,LF
D44,life_Lynd_LF_third,yyyt,Lynd,third,Life,LF
D45,marjoram_Butterworks_RH_second,yyy,Butterworks,second,marjoram,RH
D46,rhubarb_Butterworks_LF_third,nnn,Butterworks,third,Rhubarb,LF
D47,fitzi13_Paddlebridge_RF_third,yyy,Paddlebridge,third,Fitzi31,RF
D48,ladyfinger_Lynd_RH_second,yyy,Lynd,second,Ladyfinger,RH
D49,54_Choiniere_RF_third,nnn,Choiniere,third,54,RF
D50,mustache_Lynd_RH_second,nnnt,Lynd,second,Mustache,RH
D51,pasta_Swallowdale_LF_first,yyy,Swallowdale,first,Pasta,LF
D52,quantum_Swallowdale_LF_first,yyy,Swallowdale,first,Quantum,LF
D53,happiness_Butterworks_RF_second,nnn,Butterworks,second,happiness,RF
D54,snowball_Butterworks_RF_second,yyyt,Butterworks,second,Snowball,RF
D55,185_Glennview_LH_first,nnnt,Glennview,first,185,LH
D56,mango_Butterworks_LF_second,nnnt,Butterworks,second,mango,LF
D57,paige_Swallowdale_LF_second,nnn,Swallowdale,second,Paige,LF
D58,zelda_vonTrapp_LF_third,yyyt,vonTrapp,third,Zelda,LF
D59,zsazsa_Lynd_RH_third,yyy,Lynd,third,Zsazsa,RH
D60,753_BJ_LH_third,nnnt,BJ,third,753,LH
D61,cassia_Swallowdale_LH_first,yyy,Swallowdale,first,Cassia,LH
D62,vonTrapp_BTM_3,btm,vonTrapp,third,,
D63,denise_Swallowdale_RH_first,nyyt,Swallowdale,first,Denise,RH
D64,716_BJ_RF_second,nynt,BJ,second,716,RF
D65,kodiak_Lynd_LH_third,nyyt,Lynd,third,Kodiak,LH
D66,716_BJ_LH_third,yyyt,BJ,third,716,LH
D67,Butterworks_BTM_3,btm,Butterworks,third,,
D68,93_Choiniere_LF_first,nyyt,Choiniere,first,93,LF
D69,12_Choiniere_RF_third,nynt,Choiniere,third,12,RF
D70,muffin_Butterworks_RF_second,nnn,Butterworks,second,Muffin,RF
D71,OughtaBe_BTM_2,btm,OughtaBe,second,,
D72,aubrey_StonyPond_RH_first,nnn,StonyPond,first,Aubrey,RH
D73,luna_vonTrapp_RF_second,nnnt,vonTrapp,second,Luna,RF
D74,wmca_Lynd_LH_third,nnnt,Lynd,third,WMCA,LH
D75,9_Choiniere_RH_second,nyyt,Choiniere,second,9,RH
D76,annabelle27_Paddlebridge_RF_first,yyy,Paddlebridge,first,Annabelle27,RF
D77,199_Glennview_LF_first,nnnt,Glennview,first,80,LF
D78,esme_vonTrapp_LF_second,yyy,vonTrapp,second,Esme,LF
D79,Paddlebridge_BTM_1,btm,Paddlebridge,first,,
D80,17_Choiniere_LF_first,yyy,Choiniere,first,17,LF
D81,kodiak_Lynd_LH_first,nyyt,Lynd,first,kodiak,LH
E1,peaches_StonyPond_LF_second,nnn,StonyPond,second,Peaches,LF
E2,honey_OughtaBe_LH_second,nynt,OughtaBe,second,Honey,LH
E3,720_BJ_RF_first,nyyt,BJ,first,720,RF
E4,BJ_BTM_2,btm,BJ,second,,
E5,114_Glennview_LF_first,nynt,Glennview,first,114,LF
E6,kowabunga_Lynd_LF_first,yyyt,Lynd,first,Kowabunga,LF
